Дата покупки,Код товара,Махсулот,Имейка,Таннарх,Поставщик,Коробка,Ёмкость батареи,Память,Бренд,Состояние,Цвет
04.12.25,T0180,1) 14 Pro Max,355281436585647,630,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
02.12.25,T0323,7) Samsung A55,943636161,120,Trade-in,,,,,,
01.12.25,T0303,1) 16 Pro Max,351889722431096,"1 020,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
29.11.25,T0569,1) 17 Pro Max,352368543117761,"1 710,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
25.11.25,T0242,1) 16,356479195409533,795,A15 Samandar,,,128 GB,Apple,NEW,Teal
25.11.25,T0172,1) 14 Pro,351131123246470,420,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
25.11.25,T0188,1) 14 Pro Max,354841665746656,650,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
25.11.25,T0569,1) 17 Pro Max,355292131599262,"1 740,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
25.11.25,T0569,1) 17 Pro Max,355297173108617,"1 740,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
25.11.25,T0574,1) 17 PRO MAX ORANGE,355292138062520,"1 990,000",Odil Trade in mobile,,,512 GB,,NEW,Yellow
24.11.25,T0573,1) 11 pro,353238107938861,270,Odil Trade in mobile,,,256 GB,,B/U,Gold
24.11.25,T0102,1) 13 Pro,355677815684382,410,Trade-in,,,128 GB,Apple,B/U,Alphine Green
23.11.25,T0572,2) iWatch 11 46mm Jet,LW4KJ61VH4,410,A15 Samandar,,,64 GB,,NEW,Black
23.11.25,T0440,2) Iwatch 10/46  Jet Black,G29YJRF6HJ,250,Odil Trade in mobile,,,128 GB,,NEW,Black
23.11.25,T0565,1) 17 Air,352602311393596,"1 075,000",Odil Trade in mobile,,,256 GB,,NEW,Black
23.11.25,T0569,1) 17 Pro Max,351038934466827,"1 690,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
22.11.25,T0241,1) 16,351267385329610,840,Odil Trade in mobile,,,128 GB,Apple,NEW,Ultramarine
21.11.25,T0161,1) 14 Pro,356901455369404,480,Trade-in,,,128 GB,Apple,B/U,Space Black
19.11.25,T0303,1) 16 Pro Max,358360632587628,"1 190,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
19.11.25,T0311,1) 16 Pro Max,351889720225136,"1 150,000",Odil Trade in mobile,,,512 GB,Apple,B/U,Gold
18.11.25,T0232,1) 15 Pro Max,351858370131829,850,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
18.11.25,T0315,1) 15 Pro,350623503192754,790,Odil Trade in mobile,,,128 GB,Apple,B/U,Natural Titanium
17.11.25,T0283,1) 16 Pro,351385196752273,"1 000,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
13.11.25,T0570,1) Ipad M4 13-INCH,K54W200FLF,"1 140,000",A15 Samandar,,,256 GB,,NEW,Silver
13.11.25,T0572,2) iWatch 11 46mm Jet,H32W2727ND,395,A15 Samandar,,,64 GB,,NEW,Black
13.11.25,T0253,1) 16,358158664459520,945,Begzod aka Tog'a A 14,,,256 GB,Apple,NEW,Pink
13.11.25,T0216,1) 15 Pro,355363463116247,700,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
12.11.25,T0132,1) 13 Pro Max,355365661749828,630,Odil Trade in mobile,,,256 GB,Apple,B/U,Alphine Green
10.11.25,T0300,1) 16 Pro Max,350912509210359,"1 330,000",A15 Samandar,,,256 GB,Apple,NEW,Natural Titanium
10.11.25,T0303,1) 16 Pro Max,358029699715238,"1 355,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
10.11.25,T0232,1) 15 Pro Max,357300544196101,720,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
10.11.25,T0232,1) 15 Pro Max,350727301096453,680,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
10.11.25,T0303,1) 16 Pro Max,359922295966016,"1 000,000",Trade-in,,,256 GB,Apple,B/U,Gold
09.11.25,T0489,3) AirPods 4 Bez Shum,F09RF2WD2K,110,A15 Samandar,,,64 GB,,NEW,White
06.11.25,T0131,1) 13 Pro Max,355387499154963,660,Odil Trade in mobile,,,256 GB,Apple,B/U,Sierra Blue
06.11.25,T0229,1) 15 Pro Max,354653142822368,900,Odil Trade in mobile,,,256 GB,Apple,B/U,Black Titanium
05.11.25,T0546,3) Air pods 4(ANC),JY60J9J62Y,150,A15 Samandar,,,64 GB,,NEW,White
05.11.25,T0232,1) 15 Pro Max,350727300886466,920,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
05.11.25,T0121,1) 13 Pro Max,353869229535829,500,Trade-in,,,128 GB,Apple,B/U,Sierra Blue
04.11.25,T0568,8) Poco X5,865635062199929,150,Odil Trade in mobile,,,256 GB,,B/U,Black
04.11.25,T0569,1) 17 Pro Max,358936950535164,"1 650,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
31.10.25,T0536,5) MacBook Air M1 13inch,HXJPV0SX1WFV,420,Trade-in,,,256 GB,,B/U,Silver
30.10.25,T0232,1) 15 Pro Max,354653146202922,920,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
30.10.25,T0558,1) 17 AIR,358838943106063,"1 120,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
30.10.25,T0557,7) s23 Ultra,356663764568759,350,Trade-in,,,256 GB,,B/U,Black
29.10.25,T0567,8) redmi note 14 pro,868617083145302,250,A15 Samandar,,,256 GB,,NEW,Pacific Blue
29.10.25,T0216,1) 15 Pro,350623506985352,700,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
29.10.25,T0534,1)  Samsung S 24 Ultra,352208771751214,690,Trade-in,,,256 GB,,B/U,Natural Titanium
28.10.25,T0566,7) 25 ultra,353551770368038,930,Odil Trade in mobile,,,256 GB,,B/U,Natural Titanium
27.10.25,T0232,1) 15 Pro Max,359473640786816,900,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
25.10.25,T0564,1) 17 pro max,352064829713924,"1 740,000",Odil Trade in mobile,,,256 GB,,B/U,Natural Titanium
24.10.25,T0565,1) 17 Air,357247593421197,"1 120,000",Odil Trade in mobile,,,256 GB,,NEW,Black
23.10.25,T0232,1) 15 Pro Max,354653144523360,920,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
23.10.25,T0514,7) Samsung S24 Ultra,351123963131037,770,Odil Trade in mobile,,,256 GB,,NEW,Black Titanium
21.10.25,T0232,1) 15 Pro Max,354650912686445,900,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
20.10.25,T0556,9) Acer noutbook,Javohir A18,370,A18 noutbook Javoxir,,,512 GB,,NEW,Silver
20.10.25,T0162,1) 14 Pro,357555415239252,470,Trade-in,,,128 GB,Apple,B/U,Deep Purple
20.10.25,T0216,1) 15 Pro,359368233133675,700,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
19.10.25,T0240,1) 15 Pro Max,358560152821048,"1 050,000",Odil Trade in mobile,,,512 GB,Apple,B/U,Natural Titanium
18.10.25,T0505,1) 16 Pro,350166641598375,"1 000,000",Odil Trade in mobile,,,128 GB,,B/U,Desert Titanium
18.10.25,T0044,1) 12 Pro,355103318309344,300,Trade-in,,,128 GB,Apple,B/U,Pacific Blue
16.10.25,T0304,1) 16 Pro Max,358029695527389,"1 210,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
15.10.25,T0315,1) 15 Pro,350313042083389,800,Odil Trade in mobile,,,128 GB,Apple,B/U,Natural Titanium
13.10.25,T0128,1) 13 Pro Max,351016094882884,570,Odil Trade in mobile,,,256 GB,Apple,B/U,Graphite
13.10.25,T0161,1) 14 Pro,351874306833859,630,Odil Trade in mobile,,,128 GB,Apple,B/U,Space Black
13.10.25,T0561,8)Rayban Meta,2Q37S00H7402ZJ,300,Odil Trade in mobile,,,64 GB,,NEW,Black
13.10.25,T0562,7) Samsung A26 mint,352339314013943,250,Odil Trade in mobile,,,256 GB,,NEW,Midnight
13.10.25,T0563,1) 17 PRO,351763582993687,"1 690,000",Odil Trade in mobile,,,256 GB,,NEW,Blue Titanium
12.10.25,T0131,1) 13 Pro Max,359456494493407,570,Odil Trade in mobile,,,256 GB,Apple,B/U,Sierra Blue
11.10.25,T0561,8)Rayban Meta,2Q37S02H5W00MM,400,Odil Trade in mobile,,,64 GB,,NEW,Black
09.10.25,T0162,1) 14 Pro,359449124595345,600,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
09.10.25,T0232,1) 15 Pro Max,354950990602177,950,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
08.10.25,T0118,1) 13 Pro Max,357884549793707,710,Abdulloh Aka,,,128 GB,Apple,B/U,Graphite
06.10.25,T0164,1) 14 Pro,353730790610674,660,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
06.10.25,T0249,1) 16,356303747368775,650,Odil Trade in mobile,,,128 GB,Apple,B/U,White
05.10.25,T0232,1) 15 Pro Max,354673797020555,950,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
03.10.25,T0535,7) Samsung S25 Ultra,353551771780710,"1 040,000",Odil Trade in mobile,,,256 GB,,NEW,Natural Titanium
02.10.25,T0122,1) 13 Pro Max,356348392015296,600,Odil Trade in mobile,,,128 GB,Apple,B/U,Alphine Green
02.10.25,T0303,1) 16 Pro Max,359922295804375,"1 200,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
02.10.25,T0559,1) 17 pro max Cosmic orange,356889612432316,"2 050,000",Odil Trade in mobile,,,256 GB,,NEW,Yellow
02.10.25,T0231,1) 15 Pro Max,356103508394543,700,Trade-in,,,256 GB,Apple,B/U,Blue Titanium
01.10.25,T0164,1) 14 Pro,353730790610674,660,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
01.10.25,T0558,1) 17 AIR,356770694645456,"1 400,000",Odil Trade in mobile,,,256 GB,,NEW,White Titanium
30.09.25,T0122,1) 13 Pro Max,357782727670970,630,Odil Trade in mobile,,,128 GB,Apple,B/U,Alphine Green
30.09.25,T0232,1) 15 Pro Max,357300540705798,900,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
30.09.25,T0232,1) 15 Pro Max,357164769651442,840,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
29.09.25,T0533,1) 11 Pro Max,353899102888367,350,Odil Trade in mobile,,,256 GB,,B/U,Silver
29.09.25,T0557,7) s23 Ultra,351747955188868,580,Odil Trade in mobile,,,256 GB,,B/U,Black
28.09.25,T0044,1) 12 Pro,356682115092467,370,Odil Trade in mobile,,,128 GB,Apple,B/U,Pacific Blue
27.09.25,T0311,1) 16 Pro Max,351037793686681,"1 280,000",Odil Trade in mobile,,,512 GB,Apple,B/U,Gold
26.09.25,T0556,9) Acer noutbook,12345,400,A18 noutbook Javoxir,,,512 GB,,NEW,Silver
26.09.25,T0044,1) 12 Pro,356680116607150,380,Odil Trade in mobile,,,128 GB,Apple,B/U,Pacific Blue
26.09.25,T0185,1) 14 Pro Max,359761976201628,770,Odil Trade in mobile,,,256 GB,Apple,B/U,Space Black
26.09.25,T0555,4) iPad 11 A16 wifi,C323302JV02,380,Odil Trade in mobile,,,128 GB,,NEW,Silver
26.09.25,T0188,1) 14 Pro Max,350089111401724,650,Trade-in,,,256 GB,Apple,B/U,Deep Purple
24.09.25,T0325,3) Air Pods 2 Pro,GWJWFWLTYQ,180,A15 Samandar,,,,,,
24.09.25,T0554,7) Whoop 5.0 Life,B5BP0076135,415,A15 Samandar,,,64 GB,,NEW,Black
24.09.25,T0213,1) 15 Pro,355551412870217,830,Abdulloh Aka,,,256 GB,Apple,B/U,Black Titanium
23.09.25,T0162,1) 14 Pro,350351909692231,650,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
22.09.25,T0185,1) 14 Pro Max,353885668542134,670,Odil Trade in mobile,,,256 GB,Apple,B/U,Space Black
22.09.25,T0188,1) 14 Pro Max,359761970904078,780,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
21.09.25,T0140,1) 14,350390120387346,500,Odil Trade in mobile,,,128 GB,Apple,B/U,Starlight
15.09.25,T0232,1) 15 Pro Max,353104763942789,930,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
14.09.25,T0101,1) 13 Pro,353165800414306,560,Odil Trade in mobile,,,128 GB,Apple,B/U,Sierra Blue
14.09.25,T0229,1) 15 Pro Max,359893613890388,930,Odil Trade in mobile,,,256 GB,Apple,B/U,Black Titanium
14.09.25,T0297,1) 16 Pro Max,358360632587628,"1 350,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Space Black
14.09.25,T0541,7) S25 Ultra,353551770829203,"1 070,000",Odil Trade in mobile,,,256 GB,,NEW,Black
14.09.25,T0052,1) 12 Pro,356702113182654,360,Trade-in,,,256 GB,Apple,B/U,Pacific Blue
11.09.25,T0060,1) 12 Pro Max,356487142001105,480,Odil Trade in mobile,,,128 GB,Apple,B/U,Pacific Blue
10.09.25,T0229,1) 15 Pro Max,354645218334328,930,Odil Trade in mobile,,,256 GB,Apple,B/U,Black Titanium
06.09.25,T0020,1) 12,357078168516503,340,Odil Trade in mobile,,,128 GB,Apple,B/U,White
05.09.25,T0194,1) 15,352016945837839,600,Odil Trade in mobile,,,128 GB,Apple,B/U,Black
03.09.25,T0552,1) Xs Max,357281093563687,240,Abdulloh Aka,,,64 GB,,B/U,Gold
01.09.25,T0315,1) 15 Pro,358819904830180,830,Odil Trade in mobile,,,128 GB,Apple,B/U,Natural Titanium
01.09.25,T0044,1) 12 Pro,356680115219577,342,Trade-in,,,128 GB,Apple,B/U,Pacific Blue
01.09.25,T0162,1) 14 Pro,352186953951887,610,Trade-in,,,128 GB,Apple,B/U,Deep Purple
01.09.25,T0584,1) 11 Pro,353878101232124,250,Trade-in,,,256 GB,,B/U,Graphite
31.08.25,T0551,7) Samsung Z flip 5,357191980446302,380,Mirfozil,,,256 GB,,B/U,White
28.08.25,T0550,1) 14 Pro Max,353180356507617,970,Mirfozil,,,512 GB,,B/U,Purple
28.08.25,T0108,1) 13 Pro,357448972420608,450,Trade-in,,,256 GB,Apple,B/U,Graphite
27.08.25,T0231,1) 15 Pro Max,351858370921641,960,Odil Trade in mobile,,,256 GB,Apple,B/U,Blue Titanium
27.08.25,T0303,1) 16 Pro Max,354760240600479,"1 180,000",Odil Trade in mobile,,,256 GB,Apple,B/U,Gold
27.08.25,T0549,7) S25 Ultra,351589497189917,980,Odil Trade in mobile,,,256 GB,,B/U,Black
24.08.25,T0216,1) 15 Pro,355363463116247,850,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
23.08.25,T0315,1) 15 Pro,358301851325290,820,Odil Trade in mobile,,,128 GB,Apple,B/U,Natural Titanium
22.08.25,T0232,1) 15 Pro Max,357300544151395,920,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
14.08.25,T0548,7) Samsung S25 Ultra JetBlack,356899251266362,"1 290,000",A15 Samandar,,,512 GB,,NEW,Black
09.08.25,T0547,7) s25 128gb,350505564266298,780,Odil Trade in mobile,,,128 GB,,NEW,Silver
06.08.25,T0131,1) 13 Pro Max,351243328081816,590,Odil Trade in mobile,,,256 GB,Apple,B/U,Sierra Blue
05.08.25,T0102,1) 13 Pro,355677815998295,450,Trade-in,,,128 GB,Apple,B/U,Alphine Green
01.08.25,T0232,1) 15 Pro Max,350069702883936,910,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
31.07.25,T0322,2) iWatch 9 45 mm,KMV671FP7F,250,Odil Trade in mobile,,,,,B/U,Teal
31.07.25,T0489,3) AirPods 4 Bez Shum,G9GW94L25P,200,Odil Trade in mobile,,,64 GB,,NEW,White
29.07.25,T0544,8)samsung A16 White,352743952974102,180,Odil Trade in mobile,,,128 GB,,NEW,White
26.07.25,T0543,7) Samsung A56 8/128,351959931462966,380,Odil Trade in mobile,,,128 GB,,NEW,Graphite
21.07.25,T0521,15 pro,355675801810615,470,Trade-in,,,128 GB,,B/U,Black
18.07.25,T0213,1) 15 Pro,359370791233343,830,Odil Trade in mobile,,,256 GB,Apple,B/U,Black Titanium
18.07.25,T0232,1) 15 Pro Max,350717693279510,830,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
17.07.25,T0101,1) 13 Pro,353929796814377,520,Odil Trade in mobile,,,128 GB,Apple,B/U,Sierra Blue
17.07.25,T0112,1) 13 Pro,352835987688424,520,Odil Trade in mobile,,,256 GB,Apple,B/U,Alphine Green
17.07.25,T0243,1) 16,353565916156883,888,Odil Trade in mobile,,,128 GB,Apple,NEW,Pink
17.07.25,T0488,3) AirPods 4,C4LX2V6PNP,175,Odil Trade in mobile,,,64 GB,,NEW,White
17.07.25,T0500,1) 16 Pro,351817725123469,"1 120,000",Odil Trade in mobile,,,128 GB,,NEW,Black Titanium
17.07.25,T0508,1) 16 Pro,355072394491393,"1 000,000",Odil Trade in mobile,,,128 GB,,B/U,Black Titanium
16.07.25,T0111,1) 13 Pro,354916450453906,500,Odil Trade in mobile,,,256 GB,Apple,B/U,Sierra Blue
16.07.25,T0216,1) 15 Pro,351091213145570,810,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
14.07.25,T0180,1) 14 Pro Max,353843241576939,700,Odil Trade in mobile,,,128 GB,Apple,B/U,Deep Purple
14.07.25,T0301,1) 16 Pro Max,357435930315178,"1 080,000",Trade-in,,,256 GB,Apple,B/U,Space Black
12.07.25,T0299,1) 16 Pro Max,351361546325342,"1 380,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Gold
11.07.25,T0300,1) 16 Pro Max,353397167285215,"1 380,000",Odil Trade in mobile,,,256 GB,Apple,NEW,Natural Titanium
10.07.25,T0216,1) 15 Pro,358819900496176,790,Odil Trade in mobile,,,256 GB,Apple,B/U,Natural Titanium
10.07.25,T0504,1) 16 Pro,355984834445195,"1 020,000",Odil Trade in mobile,,,128 GB,,NEW,Desert Titanium
10.07.25,T0542,7) S 23 Ultra,356663766534726,610,Odil Trade in mobile,,,256 GB,,B/U,White
10.07.25,T0232,1) 15 Pro Max,357300544151395,800,Trade-in,,,256 GB,Apple,B/U,Natural Titanium
09.07.25,T0188,1) 14 Pro Max,352632921486977,720,Odil Trade in mobile,,,256 GB,Apple,B/U,Deep Purple
